,dataset,factors,n_cluster,linkage,silhouette_score,n_elements,eveness
64,df_datos_std_clus,"['F1', 'F4']",2,ward,0.2577868734548763,"{0: 49, 1: 22}",0.8930108100446013
65,df_datos_std_clus,"['F1', 'F4']",2,complete,0.37202575533282095,"{0: 45, 1: 26}",0.9477073729342067
66,df_datos_std_clus,"['F1', 'F4']",2,average,0.3677659637013233,"{1: 61, 0: 10}",0.5864477034453908
67,df_datos_std_clus,"['F1', 'F4']",2,single,0.2932434154737364,"{0: 69, 1: 2}",0.1851247601005459
68,df_datos_std_clus,"['F1', 'F4']",3,ward,0.30944971084069134,"{0: 36, 1: 22, 2: 13}",0.9268583214100333
69,df_datos_std_clus,"['F1', 'F4']",3,complete,0.38574338066757086,"{1: 39, 0: 26, 2: 6}",0.8244754644947683
70,df_datos_std_clus,"['F1', 'F4']",3,average,0.29373654242838054,"{0: 61, 1: 6, 2: 4}",0.45628922322711424
71,df_datos_std_clus,"['F1', 'F4']",3,single,0.2701160626274616,"{0: 68, 1: 2, 2: 1}",0.18381002945395933
72,df_datos_std_clus,"['F1', 'F4']",4,ward,0.32049530894465156,"{1: 26, 3: 22, 2: 13, 0: 10}",0.950620562805885
73,df_datos_std_clus,"['F1', 'F4']",4,complete,0.3857285032672774,"{0: 39, 3: 15, 1: 11, 2: 6}",0.8333413887728152
74,df_datos_std_clus,"['F1', 'F4']",4,average,0.3685620975692714,"{3: 44, 1: 17, 0: 6, 2: 4}",0.7283127532338637
75,df_datos_std_clus,"['F1', 'F4']",4,single,0.16602706134283268,"{0: 67, 1: 2, 3: 1, 2: 1}",0.19862020932508226
76,df_datos_std_clus,"['F1', 'F4']",5,ward,0.3418223190438611,"{1: 26, 3: 22, 0: 13, 2: 6, 4: 4}",0.8777165558881805
77,df_datos_std_clus,"['F1', 'F4']",5,complete,0.3113605928314518,"{3: 22, 4: 17, 1: 15, 0: 11, 2: 6}",0.9515574103245613
78,df_datos_std_clus,"['F1', 'F4']",5,average,0.35487715447460544,"{1: 44, 0: 17, 2: 4, 3: 4, 4: 2}",0.6607560219869033
79,df_datos_std_clus,"['F1', 'F4']",5,single,0.16111857876403113,"{0: 66, 1: 2, 3: 1, 2: 1, 4: 1}",0.21656378803040172
80,df_datos_std_clus,"['F1', 'F4']",6,ward,0.36578106691272844,"{0: 26, 1: 22, 3: 8, 2: 6, 5: 5, 4: 4}",0.8564904900234577
81,df_datos_std_clus,"['F1', 'F4']",6,complete,0.34010827810271405,"{1: 22, 4: 17, 0: 15, 2: 6, 3: 6, 5: 5}",0.9143082597611615
82,df_datos_std_clus,"['F1', 'F4']",6,average,0.31078223560462975,"{0: 44, 1: 13, 2: 4, 3: 4, 5: 4, 4: 2}",0.6664293582314047
83,df_datos_std_clus,"['F1', 'F4']",6,single,0.16075578860443576,"{2: 64, 1: 2, 0: 2, 3: 1, 5: 1, 4: 1}",0.2649780748924696
84,df_datos_std_clus,"['F1', 'F4']",7,ward,0.377770678502786,"{0: 22, 1: 16, 6: 10, 3: 8, 2: 6, 5: 5, 4: 4}",0.9140269068632731
85,df_datos_std_clus,"['F1', 'F4']",7,complete,0.3609913186617936,"{1: 22, 4: 17, 2: 11, 0: 6, 3: 6, 5: 5, 6: 4}",0.9048402223563582
86,df_datos_std_clus,"['F1', 'F4']",7,average,0.36916649107501814,"{1: 31, 2: 13, 0: 13, 6: 4, 3: 4, 5: 4, 4: 2}",0.8069373487850471
87,df_datos_std_clus,"['F1', 'F4']",7,single,0.1230824206935551,"{0: 64, 1: 2, 3: 1, 5: 1, 4: 1, 6: 1, 2: 1}",0.25402110562926195
88,df_datos_std_clus,"['F1', 'F4']",8,ward,0.3713223418634392,"{1: 16, 6: 16, 2: 10, 3: 8, 7: 6, 0: 6, 5: 5, 4: 4}",0.9426458875721508
89,df_datos_std_clus,"['F1', 'F4']",8,complete,0.3760086378361156,"{0: 22, 1: 17, 2: 11, 3: 6, 5: 5, 6: 4, 4: 4, 7: 2}",0.8726033722524982
90,df_datos_std_clus,"['F1', 'F4']",8,average,0.3690338194400493,"{0: 31, 2: 13, 3: 10, 6: 4, 1: 4, 5: 4, 7: 3, 4: 2}",0.802685798478723
91,df_datos_std_clus,"['F1', 'F4']",8,single,0.14468362072989552,"{0: 61, 1: 3, 3: 2, 7: 1, 5: 1, 4: 1, 6: 1, 2: 1}",0.3197285464381827
92,df_datos_std_clus,"['F1', 'F4']",9,ward,0.3929812383211931,"{0: 16, 6: 16, 2: 10, 1: 8, 7: 6, 5: 5, 4: 4, 3: 4, 8: 2}",0.9165958583386388
93,df_datos_std_clus,"['F1', 'F4']",9,complete,0.37584299129176185,"{0: 17, 8: 14, 2: 11, 3: 8, 1: 6, 5: 5, 6: 4, 4: 4, 7: 2}",0.9182651382184343
94,df_datos_std_clus,"['F1', 'F4']",9,average,0.3886651046443656,"{6: 23, 0: 13, 3: 10, 8: 8, 2: 4, 1: 4, 5: 4, 7: 3, 4: 2}",0.8731278492248411
95,df_datos_std_clus,"['F1', 'F4']",9,single,0.12686757484225733,"{1: 60, 0: 3, 3: 2, 7: 1, 5: 1, 4: 1, 6: 1, 2: 1, 8: 1}",0.3352979414109386
96,df_datos_std_clus,"['F1', 'F5']",2,ward,0.3404531520766112,"{1: 38, 0: 33}",0.9964196342978482
97,df_datos_std_clus,"['F1', 'F5']",2,complete,0.3099137126935061,"{0: 40, 1: 31}",0.9883779727795042
98,df_datos_std_clus,"['F1', 'F5']",2,average,0.47597303764575954,"{1: 68, 0: 3}",0.25253077151613923
99,df_datos_std_clus,"['F1', 'F5']",2,single,0.4964756816827207,"{1: 69, 0: 2}",0.1851247601005459
100,df_datos_std_clus,"['F1', 'F5']",3,ward,0.3816542260981234,"{0: 38, 1: 18, 2: 15}",0.9201691999579426
101,df_datos_std_clus,"['F1', 'F5']",3,complete,0.3207703978467648,"{1: 38, 0: 31, 2: 2}",0.7253978378867421
102,df_datos_std_clus,"['F1', 'F5']",3,average,0.36664987691437007,"{0: 68, 1: 2, 2: 1}",0.18381002945395933
103,df_datos_std_clus,"['F1', 'F5']",3,single,0.3643971390611931,"{0: 69, 1: 1, 2: 1}",0.13457338838490152
104,df_datos_std_clus,"['F1', 'F5']",4,ward,0.40773309105567906,"{0: 35, 1: 18, 2: 15, 3: 3}",0.8358467847148293
105,df_datos_std_clus,"['F1', 'F5']",4,complete,0.2606241544120777,"{0: 38, 1: 18, 3: 13, 2: 2}",0.7890593916350729
106,df_datos_std_clus,"['F1', 'F5']",4,average,0.3781696872210236,"{1: 48, 0: 20, 3: 2, 2: 1}",0.5641921376934486
107,df_datos_std_clus,"['F1', 'F5']",4,single,0.24774509624387356,"{0: 68, 3: 1, 2: 1, 1: 1}",0.15975050901274193
108,df_datos_std_clus,"['F1', 'F5']",5,ward,0.38310869242750495,"{3: 25, 0: 18, 2: 15, 4: 10, 1: 3}",0.9032043431782342
109,df_datos_std_clus,"['F1', 'F5']",5,complete,0.39179644345962317,"{3: 23, 0: 18, 4: 15, 1: 13, 2: 2}",0.9027368581521257
110,df_datos_std_clus,"['F1', 'F5']",5,average,0.33829884042444086,"{0: 48, 3: 19, 1: 2, 2: 1, 4: 1}",0.5207135730157666
111,df_datos_std_clus,"['F1', 'F5']",5,single,0.23775377280304175,"{0: 67, 3: 1, 4: 1, 2: 1, 1: 1}",0.18321387026212296
